id	utterance	slot_labels	intent
0	I am a victim.  I have head injuries.  I do not feel very well.  How can I find aid with this type of medical complication	O O O O O O O B-MED I-MED O O B-MED I-MED I-MED I-MED I-MED O O O O B-MED I-MED O O O O B-MED I-MED	request
1	"Delma 24, impass madiou, we need water and food they have not deliver any help for us"	O O O O O O B-WAT O B-FD O O O B-OTH I-OTH I-OTH O O	request
2	"YES I REALLY HELP SPECIALY FOOD,WATER AND TENT PLEASE.  HELP ME BEACAUSE I REALLY IN NEED."	O O O B-OTH O B-WAT O B-SHL O O B-OTH I-OTH O O O O O	request
3	Food and medical facilities required urgently at Qadirpur (Ghotki)	B-FD O B-MED I-MED O O O O O	request
4	"PLEASE, We are in Nazon, Sylvio Cator street.  We need water, food and other truncated"	O O O O O O O O O O B-WAT I-WAT B-FD O B-OTH I-OTH	request
5	A 96-member army team is scheduled to leave for Sri Lanka and another 61-member armed forces group for the Maldives to join international rescue and relief operations in the two countries devastated by the quake and high oceanic waves.	O O B-OTH I-OTH O O O O O O O O O O B-OTH I-OTH I-OTH O O O O O O B-OTH I-OTH I-OTH I-OTH O O O O O O O O O O O O	request
6	"We have a baby that died and another that has bad diarrhea.  Please send water, medecine and food."	O O O O O O O O O O O B-MED O O O B-WAT B-MED O B-FD	request
7	"Please we need help, food and toiletries."	O O B-OTH I-OTH B-FD O B-OTH	request
8	"More than 90,000 in Bangladesh are suffering from diarrhea, dysentery, and typhoid from drinking polluted floodwater or eating stale food."	O O O O O O O O B-MED I-MED I-MED I-MED O B-WAT O B-WAT O B-FD O B-FD	request
9	RT thegoodhuman RT jerryjamesstone BREAKING A 7. 0 earthquake has hit the country of Haiti & a hospital has collapsed and a tsunami . .	O O O O O O O O O O O O O O O O O B-MED O O O O O O O	request
10	"Good morning.  I have a problem.  Since the earthquaque I feel that my spirit is disturbed and then whatever I have in my hands I deposit it in place after I am looking for it I can't find it, sometimes the thing can be in my poket, it also can be in my hands but i don't remind that.  What?"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	request
11	"In need of non-perishable food , diapers , tarp and other supplies"	O O O B-FD I-FD O B-OTH O B-SHL O O B-OTH	request
12	See what you can do for me.  My house is destroyed.  I am starving for food.  I live in Mariani ( Carrefour )	O O O O O O O O O B-SHL O O O O O B-FD O B-FD O O O O O O O O	request
13	"In Pakistan, CRS assessment teams have already identified immediate needs for survivors -- shelter, medicine, food, clean water, blankets and water cans."	O O O O O O O O B-OTH I-OTH O O O B-SHL B-MED B-FD B-WAT I-WAT B-OTH O B-WAT I-WAT	request
14	"My friends, the people of Au Cap ( Cap-Haitien ) are requesting aid for people at the Justinian Hospital Cap-Haitien, Milo Hospital needs medical aid and food.  Please get this message to the authorities."	O O O O O O O O O O O B-OTH I-OTH O O O O O B-MED O O B-MED I-MED I-MED I-MED O B-FD O O B-OTH I-OTH I-OTH O O O	request
15	"In Delmas 41, impasse Mirthe we're hurt, we don't have anything to eat, hunger is killing us, our kids can't get anything to eat.  Send us vaccines.  Thank you"	O O O O O O B-MED O O O O O B-FD I-FD O O O O O O O O O B-FD O O O B-MED O O O	request
16	"If we cultivate small fields on the extremely fertile lowlands near the Limpopo, we risk losing our whole crop to frequent floods.  Sanitation and garbage disposals are the important public health issues, which needs to be addressed in a planned manner.  * 4 dry ration distribution points have been selected for the beginning in the most vulnerable zones identified in the three targeted districts : Geladid, Dalat, Dawahale and Jilahle.  In the future, ADB will be supporting infrastructure sector policy reforms, renewable energy development (particularly in regions outside Java), power transmission and distribution, trans-ASEAN power interconnection, gas transportation, road rehabilitation and expansion, port and airport development, and water supply and sanitation (both in urban and rural areas)"	O O O O O O O O O O O O O O O O O O B-FD O O O O B-OTH I-OTH I-OTH I-OTH O O O B-MED I-MED O O O O O O O O O O O O O O B-FD O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OTH I-OTH I-OTH O O O O O B-OTH I-OTH I-OTH I-OTH O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O B-WAT I-WAT O B-OTH O O O O O O	request
17	"We are and Organization LYPEDHA.  In their area lack of WATER, Food and doctors.  No officer of any kind came to the area."	O O O O O O O O O O O B-WAT B-FD O B-MED O O B-OTH O O O O O O O	request
